primary_accession	country	geo_loc	collection_year	host 	comment
PP557660	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PP557659	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PP111048	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PV288996	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MT684779	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JN258580	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JN258569	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PX952684	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PQ661204	-	-	-	Bubalus bubalis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MH151955	-	-	-	Bos taurus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PP760224	-	-	-	Bos taurus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PV584359	-	-	-	Bos taurus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PP111046	-	-	-	Bos taurus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MK754419	-	-	-	Bos taurus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MK754409	-	-	-	Bos taurus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MK754406	-	-	-	Bos taurus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
ON075457	-	-	-	Bos taurus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
DQ840098	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OR971410	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MW579840	-	-	-	Felis catus	Assumed domestic cat. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MW579811	-	-	-	Felis catus	Assumed domestic cat. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PV130913	-	-	-	Felis catus	Assumed domestic cat. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OQ790005	-	-	-	Felis catus	Assumed domestic cat. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OQ790011	-	-	-	Felis catus	Assumed domestic cat. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MH258823	-	-	-	Bos taurus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PP785421	-	-	-	Cerdocyon thous	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KP319184	-	-	-	Melogale moschata	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
FJ712196	-	-	-	Melogale moschata	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
FJ712195	-	-	-	Melogale moschata	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
FJ825135	-	-	-	Melogale moschata	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
FJ825134	-	-	-	Melogale moschata	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
FJ825133	-	-	-	Melogale moschata	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KY210306	-	-	-	Civettictis civetta	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KR534246	-	-	-	Civettictis civetta	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
LC110321	-	-	-	Paradoxurus zeylonensis	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
LC110293	-	-	-	Paradoxurus zeylonensis	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX878987	-	-	-	Dasypus novemcinctus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MW579833	-	-	-	Desmodus rotundus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MW579824	-	-	-	Desmodus rotundus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MW579820	-	-	-	Desmodus rotundus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MW579786	-	-	-	Desmodus rotundus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PV130912	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MH507337	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MH507336	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
GU086660	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
GU086637	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PV540779	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MW057696	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MW057695	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
MW057694	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PQ740965	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PQ740964	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PQ740963	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU055540	-	-	-	Muscardinus avellanarius	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
EU853624	-	-	-	Camelus dromedarius	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
AY330764	-	-	-	Cephalophus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
DQ194883	-	-	-	Taurotragus oryx	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX434507	-	-	-	Elephas maximus indicus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
AY138564	-	-	-	Elephas maximus indicus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KF150734	-	-	-	Elephas maximus indicus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KC297654	-	-	-	Eptesicus serotinus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
AF369274	-	-	-	Vulpes vulpes	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KY613020	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KY613019	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KY613018	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KY613017	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX447689	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX447688	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX447687	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KX447686	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KP892528	-	-	-	Melogale moschata subaurantiaca	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KP892527	-	-	-	Melogale moschata subaurantiaca	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JN974877	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JN936788	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JQ950453	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JQ950451	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JQ950449	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JQ950452	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JQ950450	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JQ950448	-	-	-	Melogale moschata	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
AF369294	-	-	-	Procyon lotor	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
FJ228486	-	-	-	Tadarida brasiliensis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
AF304169	-	-	-	Genetta tigrina	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
DQ194893	-	-	-	Genetta tigrina	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
